species	run	completeBusco	att1	att2
Dana	1	74.7	1	1
Dana	2	88.9	1	1
Dana	3	91.5	1	1
Dana	4	91.8	1	1
Dana	5	91.8	1	1
Dana	6	91.8	1	1
Dbia	1	77.1	1	2
Dbia	2	91.5	1	2
Dbia	3	94.1	1	2
Dbia	4	94.7	1	2
Dbia	5	94.7	1	2
Dbia	6	94.7	1	2
Dbip	1	67.2	1	3
Dbip	2	84.8	1	3
Dbip	3	87.1	1	3
Dbip	4	87.7	1	3
Dbip	5	87.9	1	3
Dbip	6	87.9	1	3
Dere	1	79.5	2	1
Dere	2	93.9	2	1
Dere	3	94.9	2	1
Dere	4	95.4	2	1
Dere	5	95.5	2	1
Dere	6	95.5	2	1
Deug	1	70.7	2	2
Deug	2	89.1	2	2
Deug	3	92	2	2
Deug	4	92.3	2	2
Deug	5	92.7	2	2
Deug	6	92.7	2	2
Dmau	1	75.9	3	1
Dmau	2	91.8	3	1
Dmau	3	94.3	3	1
Dmau	4	95	3	1
Dmau	5	95	3	1
Dmau	6	95	3	1
Dmoj	1	66.9	3	2
Dmoj	2	89.1	3	2
Dmoj	3	92.4	3	2
Dmoj	4	93.6	3	2
Dmoj	5	93.5	3	2
Dmoj	6	93.5	3	2
Dper	1	62.1	3	3
Dper	2	86.7	3	3
Dper	3	89.6	3	3
Dper	4	90.9	3	3
Dper	5	90.9	3	3
Dper	6	90.9	3	3
Dpse	1	72.3	4	1
Dpse	2	89.4	4	1
Dpse	3	93	4	1
Dpse	4	93.8	4	1
Dpse	5	93.9	4	1
Dpse	6	93.9	4	1
Dsec	1	75.3	4	2
Dsec	2	92.1	4	2
Dsec	3	94.7	4	2
Dsec	4	95.2	4	2
Dsec	5	95.2	4	2
Dsec	6	95.2	4	2
Dsim	1	77.5	4	3
Dsim	2	90.8	4	3
Dsim	3	93.9	4	3
Dsim	4	94.3	4	3
Dsim	5	94.4	4	3
Dsim	6	94.4	4	3
Dvir	1	70.9	5	1
Dvir	2	90.7	5	1
Dvir	3	92.9	5	1
Dvir	4	93.6	5	1
Dvir	5	93.6	5	1
Dvir	6	93.6	5	1
Dwil	1	72.2	5	2
Dwil	2	88.7	5	2
Dwil	3	91.5	5	2
Dwil	4	92	5	2
Dwil	5	92.1	5	2
Dwil	6	92.1	5	2
Dyak	1	73.7	5	3
Dyak	2	92.3	5	3
Dyak	3	95	5	3
Dyak	4	95.4	5	3
Dyak	5	95.5	5	3
Dyak	6	95.5	5	3
