species	run	completeBusco
Dana	0.5	88.3
Dana	1	97.4
Dana	1.5	93.6
Dana	2	97.9
Dana	2.5	92.3
Dana	3	98.1
Dana	3.5	92.6
Dana	4	97.9
Dbia	0.5	88.3
Dbia	1	97.9
Dbia	1.5	93.3
Dbia	2	98.5
Dbia	2.5	93.9
Dbia	3	98.5
Dbia	3.5	92.9
Dbia	4	98.5
Dbip	0.5	74.9
Dbip	1	93
Dbip	1.5	83.7
Dbip	2	93.3
Dbip	2.5	83.4
Dbip	3	92.9
Dbip	3.5	83.1
Dbip	4	93.3
Dere	0.5	89.9
Dere	1	97.9
Dere	1.5	93.6
Dere	2	98.4
Dere	2.5	93.7
Dere	3	98.4
Dere	3.5	93.1
Dere	4	98.3
Deug	0.5	82.6
Deug	1	97.3
Deug	1.5	89
Deug	2	97.4
Deug	2.5	90.2
Deug	3	97.6
Deug	3.5	89.4
Deug	4	97.1
Dmau	0.5	91
Dmau	1	98
Dmau	1.5	95.3
Dmau	2	98.7
Dmau	2.5	94.9
Dmau	3	98.6
Dmau	3.5	95.4
Dmau	4	98.6
Dmir	0.5	75.9
Dmir	1	93.3
Dmir	1.5	85.8
Dmir	2	94
Dmir	2.5	84.7
Dmir	3	93.9
Dmir	3.5	84.8
Dmir	4	93.9
Dmoj	0.5	82.5
Dmoj	1	97.2
Dmoj	1.5	91.4
Dmoj	2	98
Dmoj	2.5	92.3
Dmoj	3	97.9
Dmoj	3.5	92.4
Dmoj	4	97.8
Dper	0.5	80.3
Dper	1	97.1
Dper	1.5	88.9
Dper	2	97.4
Dper	2.5	87.2
Dper	3	97.6
Dper	3.5	89.7
Dper	4	97.9
Dpse	0.5	84.1
Dpse	1	97.1
Dpse	1.5	89.9
Dpse	2	97.8
Dpse	2.5	90.3
Dpse	3	97.6
Dpse	3.5	89.8
Dpse	4	97.4
Dsec	0.5	91.3
Dsec	1	98.6
Dsec	1.5	94.6
Dsec	2	98.5
Dsec	2.5	94.6
Dsec	3	98.5
Dsec	3.5	94.3
Dsec	4	98.7
Dsim	0.5	91.3
Dsim	1	98.4
Dsim	1.5	95.4
Dsim	2	98.4
Dsim	2.5	95.3
Dsim	3	98.4
Dsim	3.5	95.8
Dsim	4	98.4
Dvir	0.5	84.9
Dvir	1	97.1
Dvir	1.5	90.6
Dvir	2	97.4
Dvir	2.5	91.5
Dvir	3	97.4
Dvir	3.5	92.2
Dvir	4	97.1
Dwil	0.5	79.7
Dwil	1	96.4
Dwil	1.5	87.3
Dwil	2	97.4
Dwil	2.5	86.8
Dwil	3	97.4
Dwil	3.5	86.7
Dwil	4	97.9
Dyak	0.5	86.7
Dyak	1	98.2
Dyak	1.5	92.9
Dyak	2	98.3
Dyak	2.5	92.9
Dyak	3	98.3
Dyak	3.5	92.6
Dyak	4	98.2
