species	run	completeBusco	att1	att2
Dana	1	88.3	1	1
Dana	2	91.6	1	1
Dana	3	91.6	1	1
Dana	4	91.6	1	1
Dbia	1	88.3	1	2
Dbia	2	91.5	1	2
Dbia	3	91.9	1	2
Dbia	4	92	1	2
Dbip	1	74.9	1	3
Dbip	2	78.8	1	3
Dbip	3	79.9	1	3
Dbip	4	80.1	1	3
Dere	1	89.9	2	1
Dere	2	91.8	2	1
Dere	3	91.3	2	1
Dere	4	90.4	2	1
Deug	1	82.6	2	2
Deug	2	84.7	2	2
Deug	3	85	2	2
Deug	4	86.7	2	2
Dkik	1	82.9	2	3
Dkik	2	84.7	2	3
Dkik	3	85.5	2	3
Dkik	4	85	2	3
Dmau	1	91	3	1
Dmau	2	93.6	3	1
Dmau	3	94.7	3	1
Dmau	4	94.6	3	1
Dmoj	1	82.5	3	3
Dmoj	2	89.1	3	3
Dmoj	3	89.4	3	3
Dmoj	4	88.7	3	3
Dper	1	80.3	4	1
Dper	2	85.1	4	1
Dper	3	84.9	4	1
Dper	4	85.3	4	1
Dpse	1	84.1	4	2
Dpse	2	87.7	4	2
Dpse	3	88.9	4	2
Dpse	4	88.8	4	2
Dsec	1	91.3	4	3
Dsec	2	92.8	4	3
Dsec	3	93.1	4	3
Dsec	4	92.1	4	3
Dsim	1	91.3	5	1
Dsim	2	94.2	5	1
Dsim	3	95.3	5	1
Dsim	4	95.6	5	1
Dvir	1	84.9	5	2
Dvir	2	87.5	5	2
Dvir	3	89.5	5	2
Dvir	4	89.3	5	2
Dwil	1	79.7	5	3
Dwil	2	84.4	5	3
Dwil	3	84.5	5	3
Dwil	4	82.8	5	3
Dyak	1	86.7	6	1
Dyak	2	90.2	6	1
Dyak	3	90.8	6	1
Dyak	4	91.2	6	1
